,acc,pre,recall,f1
0,0.3572,0.1276,0.3572,0.1881
1,0.4741,0.7873,0.4741,0.4035
2,0.717,0.8338,0.717,0.7179
3,0.8871,0.9103,0.8871,0.8893
4,0.9592,0.9617,0.9592,0.9595
5,0.983,0.9829,0.983,0.9829
6,0.9801,0.9804,0.9801,0.98
7,0.9528,0.9559,0.9528,0.9519
8,0.9357,0.9416,0.9357,0.9341
9,0.9261,0.9337,0.9261,0.9239
10,0.913,0.9234,0.913,0.9097
11,0.8945,0.9094,0.8945,0.8894
12,0.8757,0.8958,0.8757,0.8681
13,0.8693,0.8914,0.8693,0.8607
14,0.8594,0.8846,0.8594,0.8491
15,0.8342,0.8682,0.8342,0.8186
16,0.8263,0.8633,0.8263,0.8088
17,0.8185,0.8585,0.8185,0.7989
18,0.7997,0.8473,0.7997,0.7742
19,0.7933,0.8436,0.7933,0.7656
20,0.7905,0.842,0.7905,0.7617
21,0.7827,0.8376,0.7827,0.7509
22,0.7752,0.8335,0.7752,0.7403
23,0.7724,0.8319,0.7724,0.7363
24,0.7713,0.8313,0.7713,0.7347
25,0.7692,0.8302,0.7692,0.7317
26,0.767,0.829,0.767,0.7286
27,0.7628,0.8267,0.7628,0.7223
28,0.7628,0.8267,0.7628,0.7223
29,0.7575,0.8239,0.7575,0.7144
30,0.7521,0.8211,0.7521,0.7063
31,0.7482,0.8191,0.7482,0.7003
32,0.7482,0.8191,0.7482,0.7003
33,0.7404,0.8151,0.7404,0.6882
34,0.7362,0.8129,0.7362,0.6814
35,0.729,0.8094,0.729,0.6699
36,0.7259,0.8078,0.7259,0.6646
37,0.7259,0.8078,0.7259,0.6646
38,0.7251,0.8075,0.7251,0.6634
39,0.7251,0.8075,0.7251,0.6634
40,0.7251,0.8075,0.7251,0.6634
41,0.7251,0.8075,0.7251,0.6634
42,0.7198,0.8049,0.7198,0.6545
43,0.718,0.804,0.718,0.6515
44,0.7177,0.8038,0.7177,0.6509
45,0.7163,0.8032,0.7163,0.6485
46,0.7145,0.8023,0.7145,0.6454
47,0.7145,0.8023,0.7145,0.6454
48,0.7092,0.7998,0.7092,0.6362
49,0.7092,0.7998,0.7092,0.6362
