threshold,acc,pre,recall,f1
0,20.96,10.48,50,17.33
4,20.96,10.48,50,17.33
8,20.96,10.48,50,17.33
12,20.96,10.48,50,17.33
16,20.96,10.48,50,17.33
20,20.96,10.48,50,17.33
24,20.96,10.48,50,17.33
28,20.96,10.48,50,17.33
32,20.96,10.48,50,17.33
36,20.96,10.48,50,17.33
40,20.96,10.48,50,17.33
44,21.28,60.52,50.2,17.78
48,22.6,60.66,51.03,19.59
52,25.23,60.95,52.7,23.08
56,28.7,61.09,54.82,27.44
60,34.08,61.27,57.95,33.71
64,39.42,61.48,60.84,39.4
68,44.84,62.22,63.92,44.74
72,51.65,63.73,68.09,51.04
76,57.79,65.16,71.69,56.43
80,62.81,66.54,74.59,60.73
84,67.76,67.95,77.09,64.86
88,72.5,69.89,79.74,68.94
92,76.4,71.91,82,72.43
96,79.55,73.67,83.36,75.21
100,82.06,75.25,83.97,77.39
104,83.62,76.44,84.26,78.76
108,85.33,78.03,84.51,80.31
112,86.45,79.27,84.51,81.32
116,87.33,80.43,83.95,81.95
120,88.08,81.65,83.66,82.58
124,88.08,81.9,82.47,82.18
128,88.6,83.2,81.68,82.4
132,88.92,84.36,80.84,82.4
136,88.8,84.73,79.71,81.83
140,88.64,85.39,78.22,81.02
144,88.4,85.9,76.81,80.11
148,88.36,86.7,75.95,79.62
152,87.72,86.25,74.21,78.06
156,87.29,86.13,72.89,76.86
160,86.93,86.46,71.55,75.66
164,86.13,85.77,69.5,73.53
168,85.73,85.54,68.41,72.36
172,85.09,85.14,66.68,70.42
176,84.85,85.28,65.9,69.54
180,84.5,85.12,64.91,68.35
184,84.3,85.58,64.15,67.45
188,84.18,86.24,63.59,66.77
192,83.82,86.97,62.38,65.21
196,83.58,86.94,61.74,64.34
