threshold,acc,pre,recall,f1
0,20.96,10.48,50,17.33
4,20.96,10.48,50,17.33
8,20.96,10.48,50,17.33
12,20.96,10.48,50,17.33
16,20.96,10.48,50,17.33
20,20.96,10.48,50,17.33
24,20.96,10.48,50,17.33
28,20.96,10.48,50,17.33
32,20.96,10.48,50,17.33
36,20.96,10.48,50,17.33
40,20.96,10.48,50,17.33
44,21.28,60.52,50.2,17.78
48,22.6,60.66,51.03,19.59
52,25.23,60.95,52.7,23.08
56,28.7,61.09,54.82,27.44
60,34.08,61.27,57.95,33.71
64,39.42,61.48,60.84,39.4
68,44.84,62.22,63.92,44.74
72,51.65,63.73,68.09,51.04
76,57.79,65.16,71.69,56.43
80,62.81,66.54,74.59,60.73
84,67.76,67.95,77.09,64.86
88,72.5,69.89,79.74,68.94
92,76.4,71.91,82,72.43
96,79.55,73.67,83.36,75.21
100,82.06,75.25,83.97,77.39
104,83.62,76.44,84.26,78.76
108,85.33,78.03,84.51,80.31
112,86.45,79.27,84.51,81.32
116,87.33,80.43,83.95,81.95
120,88.08,81.65,83.66,82.58
124,88.08,81.9,82.47,82.18
128,88.6,83.2,81.68,82.4
132,88.92,84.36,80.84,82.4
136,88.8,84.73,79.71,81.83
140,88.64,85.39,78.22,81.02
144,88.4,85.9,76.81,80.11
148,88.36,86.7,75.95,79.62
152,87.72,86.25,74.21,78.06
156,87.29,86.13,72.89,76.86
160,86.93,86.46,71.55,75.66
164,86.13,85.77,69.5,73.53
168,85.73,85.54,68.41,72.36
172,85.09,85.14,66.68,70.42
176,84.85,85.28,65.9,69.54
180,84.5,85.12,64.91,68.35
184,84.3,85.58,64.15,67.45
188,84.18,86.24,63.59,66.77
192,83.82,86.97,62.38,65.21
196,83.58,86.94,61.74,64.34
200,83.34,87.22,61.03,63.35
204,83.02,87.13,60.2,62.16
208,82.74,87.48,59.4,60.97
212,82.5,87.56,58.76,59.99
216,82.3,88.2,58.14,59.03
220,82.1,87.96,57.67,58.28
224,81.94,87.75,57.29,57.67
228,81.87,87.65,57.1,57.36
232,81.63,87.3,56.53,56.43
236,81.47,87.04,56.15,55.8
240,81.23,87.28,55.51,54.7
244,81.11,87.07,55.22,54.21
248,80.99,88.44,54.8,53.44
252,80.83,88.22,54.42,52.76
256,80.71,89.07,54.06,52.1
260,80.59,88.93,53.78,51.58
264,80.43,88.74,53.4,50.88
268,80.35,88.63,53.21,50.53
272,80.35,88.63,53.21,50.53
276,80.31,88.57,53.11,50.35
280,80.23,90,52.85,49.84
284,80.19,89.98,52.76,49.66
288,80.15,89.96,52.66,49.48
292,80.07,89.93,52.47,49.11
296,79.91,89.87,52.09,48.38
300,79.83,89.84,51.9,48.01
304,79.75,89.8,51.71,47.63
308,79.71,89.79,51.62,47.44
312,79.71,89.79,51.62,47.44
316,79.71,89.79,51.62,47.44
320,79.67,89.77,51.52,47.25
324,79.67,89.77,51.52,47.25
328,79.59,89.74,51.33,46.88
332,79.51,89.71,51.14,46.49
336,79.51,89.71,51.14,46.49
340,79.47,89.69,51.05,46.3
344,79.43,89.68,50.95,46.11
348,79.31,89.63,50.67,45.53
352,79.31,89.63,50.67,45.53
356,79.27,89.61,50.57,45.33
360,79.23,89.6,50.48,45.14
364,79.16,89.57,50.29,44.74
368,79.16,89.57,50.29,44.74
372,79.16,89.57,50.29,44.74
376,79.16,89.57,50.29,44.74
380,79.16,89.57,50.29,44.74
384,79.16,89.57,50.29,44.74
388,79.16,89.57,50.29,44.74
392,79.16,89.57,50.29,44.74
396,79.16,89.57,50.29,44.74
400,79.16,89.57,50.29,44.74
404,79.16,89.57,50.29,44.74
408,79.16,89.57,50.29,44.74
412,79.16,89.57,50.29,44.74
416,79.16,89.57,50.29,44.74
420,79.16,89.57,50.29,44.74
424,79.16,89.57,50.29,44.74
428,79.16,89.57,50.29,44.74
432,79.16,89.57,50.29,44.74
436,79.16,89.57,50.29,44.74
440,79.12,89.55,50.19,44.54
444,79.12,89.55,50.19,44.54
448,79.12,89.55,50.19,44.54
452,79.08,89.53,50.1,44.34
456,79.08,89.53,50.1,44.34
460,79.08,89.53,50.1,44.34
