,,,,,TCN
0,7.4110928,-0.5889072,,-0.5889072,0
1,6.975979,-1.024021,,-1.024021,0
2,6.7763033,-1.2236967,,-1.2236967,0
3,8.901209,0.901209,,0.901209,1.401209
4,8.524954,0.524954,,0.524954,1.024954
5,6.967783,-1.032217,,-1.032217,0
6,7.1205196,-0.8794804,,-0.8794804,0
7,8.016825,0.016825,,0.016825,0.516825
8,7.429719,-0.570281,,-0.570281,0
9,6.9044533,-1.0955467,,-1.0955467,0
10,7.0273876,-0.9726124,,-0.9726124,0
11,6.940216,-1.059784,,-1.059784,0
12,8.028001,0.028001,,0.028001,0.528001
13,7.1905556,-0.8094444,,-0.8094444,0
14,7.1518126,-0.8481874,,-0.8481874,0
15,8.422881,0.422881,,0.422881,0.922881
16,8.554011,0.554011,,0.554011,1.054011
17,7.087737,-0.912263,,-0.912263,0
18,7.600337,-0.399663,,-0.399663,0.100337
19,9.071827,1.071827,,1.071827,1.571827
20,7.3231754,-0.6768246,,-0.6768246,0
21,8.037686,0.037686,,0.037686,0.537686
22,7.6375904,-0.3624096,,-0.3624096,0.1375904
23,8.375942,0.375942,,0.375942,0.875942
24,6.5505505,-1.4494495,,-1.4494495,0
25,7.278472,-0.721528,,-0.721528,0
26,8.0958,0.0958,,0.0958,0.5958
27,6.893277,-1.106723,,-1.106723,0
28,6.699562,-1.300438,,-1.300438,0
29,7.262081,-0.737919,,-0.737919,0
30,6.5125523,-1.4874477,,-1.4874477,0
31,7.4438753,-0.5561247,,-0.5561247,0
32,6.6004696,-1.3995304,,-1.3995304,0
33,6.4097347,-1.5902653,,-1.5902653,0
34,7.431209,-0.568791,,-0.568791,0
35,10.51277,2.51277,,2.51277,3.01277
36,6.289035,-1.710965,,-1.710965,0
37,9.11057,1.11057,,1.11057,1.61057
38,7.2985888,-0.7014112,,-0.7014112,0
39,7.1205196,-0.8794804,,-0.8794804,0
40,7.026643,-0.973357,,-0.973357,0
41,6.7546964,-1.2453036,,-1.2453036,0
