,score
0,54.51709
1,59.81724
2,38.212555
3,100.32691
4,108.61622
5,53.44663
6,38.28325
7,76.8873
8,72.74623
9,42.960754
10,44.976738
11,45.16152
12,66.30441
13,43.67855
14,77.45736
15,71.34918
16,85.055504
17,55.16176
18,51.425755
19,108.13731
20,61.93492
21,60.579132
22,55.107986
23,116.77202
24,49.76091
25,44.29221
26,92.82068
27,43.754986
28,43.43076
29,46.5598
30,48.43561
31,43.117928
32,49.173157
33,52.808826
34,57.225807
35,152.90875
36,48.058548
37,125.764404
38,77.83137
39,56.138412
40,67.196976
41,52.185368
42,184.1765
43,35.75836
44,92.20598
45,116.21084
46,51.780308
47,43.855
48,44.2853
49,48.348488
50,72.03914
51,92.671524
52,73.52594
53,89.60746
54,42.808426
55,125.704666
56,68.34378
57,104.286934
58,104.944145
59,65.44245
60,87.55145
61,64.15318
62,93.842125
63,87.31376
64,44.198395
65,51.214092
66,144.80267
67,97.677124
68,63.875496
69,45.83994
70,79.78444
71,51.193714
72,93.15549
73,52.650547
74,47.6419
75,62.892467
76,159.60641
77,89.09102
78,62.280727
79,47.5476
80,54.69767
81,72.322716
82,78.93849
83,94.71414
84,81.8019
85,88.661514
86,45.873947
87,50.778984
88,75.25387
89,68.30433
90,51.55933
91,47.81409
92,64.69988
93,51.482227
94,49.31021
95,68.23725
96,55.620033
97,68.13778
98,49.04163
99,43.611206
100,51.100883
101,45.05253
102,70.41508
103,54.3899
104,44.58731
105,91.412704
106,78.172646
107,97.98266
108,37.859016
109,54.46408
110,43.938232
111,41.115925
112,50.9617
113,54.790466
114,49.922962
115,47.374073
116,50.687878
117,43.883667
118,46.734047
119,62.592045
120,75.62397
121,38.747154
122,48.771854
123,44.749146
124,47.886616
125,59.457203
126,38.239033
127,48.86263
128,135.78073
129,154.22946
130,152.49702
131,217.46677
132,231.24356
133,80.757996
134,105.823555
135,84.13525
136,78.81582
137,56.06161
138,67.44536
139,51.66929
140,47.661674
141,45.84725
142,39.184563
143,58.24373
144,39.35761
145,51.89887
146,60.451767
147,47.946064
148,49.66222
149,45.46647
150,74.02386
151,46.11043
152,43.536266
153,37.25512
154,44.516
155,56.608818
156,43.177746
157,79.82528
158,97.12956
159,72.64115
160,28.542543
161,43.883694
162,38.938812
163,87.552574
164,42.295757
165,65.09318
166,111.6257
167,87.63167
168,61.12898
169,52.09361
170,34.49098
171,50.82275
172,83.42095
173,40.394028
174,47.718243
175,45.303085
176,57.47535
177,94.365295
178,140.54504
179,60.24712
180,67.01492
181,105.847916
182,62.666813
183,62.908234
184,62.567024
185,51.68058
186,51.483597
187,56.614708
188,88.2262
189,40.82141
190,42.346718
191,54.522385
192,46.47809
193,162.04544
194,109.92276
195,78.76862
196,102.493576
197,51.62817
198,82.23558
199,54.94413
200,80.19259
201,63.46745
202,55.28785
203,44.62446
204,90.03735
205,62.56049
206,76.66746
207,150.27798
208,109.74563
209,50.786247
210,44.58967
211,61.208885
212,49.548706
213,56.91923
214,46.523212
215,68.204704
216,76.51728
217,158.3121
218,173.22636
219,86.2484
220,144.3161
221,141.38098
222,40.12907
223,117.947235
224,90.08364
225,70.359344
226,46.05798
227,143.64102
228,101.658844
229,121.802536
230,71.48072
231,69.309814
232,112.657364
233,51.672165
234,53.840652
235,50.672318
236,99.94043
237,44.495747
238,90.10524
239,69.836754
240,38.789692
241,60.669018
242,42.96146
243,38.630646
244,40.492435
245,79.87111
246,71.999146
247,106.61432
248,49.51979
249,47.85377
250,74.29884
251,51.071777
252,44.43597
253,51.210724
254,86.07683
255,51.244785
256,50.611805
257,49.428905
258,41.686565
259,70.938095
260,111.97267
261,51.969875
262,45.682518
263,59.60599
264,48.083984
265,39.77176
266,65.11967
267,85.62112
268,110.82503
269,51.924915
270,37.192146
271,66.57906
272,60.92203
273,67.6859
274,80.58533
275,79.97124
276,55.87936
277,63.607475
278,45.854527
279,78.70484
280,57.586105
281,58.039726
282,87.62752
283,47.21381
284,29.964703
285,52.525528
286,42.40254
287,131.54164
288,80.04126
289,60.466347
290,58.90719
291,73.521774
292,55.460175
293,47.3017
294,60.2265
295,44.912186
296,102.91695
297,89.0567
298,77.54427
299,45.48742
300,129.08846
301,45.692818
302,62.211784
303,48.181202
304,46.46115
305,50.356903
306,89.34253
307,36.12147
308,51.80282
309,40.335846
310,86.05502
311,39.180244
312,71.247
313,76.88902
314,121.22446
315,55.69831
316,59.10421
317,88.58143
318,93.68961
319,70.35073
320,64.81733
321,57.656506
322,49.883705
323,48.61195
324,73.58363
325,67.29524
326,63.625923
327,118.596146
328,109.61162
329,103.29251
330,123.5197
331,43.294556
332,34.83737
333,44.81633
334,93.715225
335,52.63954
336,97.52345
337,76.48789
338,162.32832
339,96.119675
340,41.945724
341,66.748886
342,72.34286
343,45.1858
344,108.45911
345,126.97514
346,103.43147
347,47.296448
348,69.91868
349,39.942986
350,92.6582
351,79.666466
352,41.197002
